input,output
#hambedʒ#,#ambod#
#enzuk#,#alok#
#ezuk#,#alok#
#ʔambedʒ#,#ambod#
#ʔabedʒ#,#ambod#
#ampet#,#ampat#
#ʔantatadu#,#antataro#
#ʔepah#,#apa#
#asuɡ#,#asoɡ#
#ʔaŋesedʒ#,#aŋsod#
#ʔaŋsedʒ#,#aŋsod#
#badʒbadʒ#,#badbad#
#baɡuʔ#,#baɡoʔ#
#beketut#,#baktot#
#baliŋbiŋ#,#baliŋbiŋ#
#balian#,#baljan#
#beladʒ#,#balad#
#balanak#,#balanak#
#balatuŋ#,#balatoŋ#
#balintaŋ#,#balitaŋ#
#balitaŋ#,#balitaŋ#
#benben#,#bamban#
#banban#,#bamban#
#benehiʔ#,#banhiʔ#
#baraŋaj#,#baraŋaj#
#basbas#,#basbas#
#basbas#,#basbas#
#batbat#,#batbat#
#baŋkaj#,#baŋkaj#
#bikaŋkaŋ#,#bikaŋkaŋ#
#bidibid#,#biribid#
#bitaʔus#,#bitaʔos#
#biŋbiŋ#,#biŋbiŋ#
#buhis#,#buhis#
#bukaŋkaŋ#,#bukaŋkaŋ#
#butul#,#buntol#
#buriŋ#,#buriŋ#
#budiŋ#,#buriŋ#
#butbut#,#butbot#
#butiti#,#butiti#
#buŋaw#,#buŋaw#
#babaw#,#babaw#
#baɡaj#,#baɡaj#
#bakul#,#bakol#
#banat#,#banat#
#bida#,#bira#
#buŋkul#,#bukol#
#bukul#,#bukol#
#bulaŋ#,#bulaŋ#
#bulus#,#bulos#
#budʒak#,#burak#
#butuŋ#,#butoŋ#
#bujuʔ#,#bujoʔ#
#buŋut#,#buŋot#
#damut#,#damot#
#duŋun#,#duŋon#
#ɡimbal#,#ɡimbal#
#ɡumul#,#ɡumol#
#ɡujaʔ#,#ɡujaʔɡujaʔ#
#halaw#,#halaw#
#hametak#,#hamtak#
#hamak#,#hamak#
#haruʔan#,#haruʔan#
#hajup#,#hajop#
#hinzam#,#hidam#
#hukaj#,#hukaj#
#hurus#,#huros#
#haŋus#,#haŋos#
#hilah#,#hila#
#hilu#,#hilo#
#lihem#,#hilom#
#huʔem#,#huʔom#
#ʔikʔik#,#ikʔik#
#ian#,#ian#
#iŋas#,#iŋas#
#kabal#,#kabal#
#kaban#,#kaban#
#kalasaɡ#,#kalasaɡ#
#kemkem#,#kamkam#
#kandiŋ#,#kandiŋ#
#kanuʔus#,#kanoʔos#
#kerus#,#karos#
#kawiŋ#,#kawiŋ#
#kajab#,#kajab#
#kubal#,#kubal#
#kezut#,#kudot#
#kuhul#,#kuhol#
#kenu#,#kuno#
#kupiŋ#,#kupiŋ#
#kurendut#,#kurundot#
#kuredut#,#kurundot#
#kutiŋ#,#kutiŋ#
#kapis#,#kapis#
#kawaʔ#,#kawaʔ#
#kiraj#,#kiraj#
#kelep#,#kulop#
#kempes#,#kupos#
#kepes#,#kupos#
#kutkut#,#kutkut#
#laɡetuk#,#laɡtok#
#leɡuŋ#,#laɡoŋ#
#lahuk#,#lahok#
#lakebaŋ#,#lakbaŋ#
#lakbaŋ#,#lakbaŋ#
#lampin#,#lampin#
#lantaw#,#lataw#
#lataw#,#lataw#
#leʔeɡuk#,#laʔɡok#
#leʔɡuk#,#laʔɡok#
#laun#,#laʔon#
#lubet#,#lubot#
#laʔin#,#laʔin#
#lutuʔ#,#lutoʔ#
#nasi#,#nasi#
#paɡel#,#paɡal#
#palawan#,#palawan#
#palentik#,#paltik#
#paletik#,#paltik#
#paletik#,#paltik#
#paŋɡaŋ#,#paŋɡaŋ#
#paŋpaŋ#,#paŋpaŋ#
#paŋasih#,#paŋasi#
#pisa#,#piɡsa#
#pulesit#,#pulsit#
#puspus#,#puspos#
#petuk#,#putok#
#puju#,#pujo#
#puŋpuŋ#,#puŋpoŋ#
#puʔpuʔ#,#puʔpoʔ#
#palidʒ#,#palid#
#punpun#,#punpun#
#punzut#,#purot#
#puzut#,#purot#
#raŋsuk#,#rasok#
#rasuk#,#rasok#
#riŋis#,#riŋis#
#dujuŋ#,#rujoŋ#
#sambaw#,#sabaw#
#sabaw#,#sabaw#
#sambaj#,#sabaj#
#sabaj#,#sabaj#
#salatan#,#salatan#
#sarapaŋ#,#sarapaŋ#
#sawaliʔ#,#sawaliʔ#
#sajaw#,#sajaw#
#saŋkal#,#saŋkal#
#sakal#,#saŋkal#
#saŋaj#,#saŋaj#
#saʔup#,#saʔop#
#sikuʔan#,#sikoʔan#
#sikep#,#sikop#
#sipak#,#sipak#
#sidʒem#,#sirom#
#siŋehet#,#siŋot#
#siŋhet#,#siŋot#
#siŋehet#,#siŋhot#
#siŋhet#,#siŋhot#
#seleɡ#,#suloɡ#
#sumpaʔ#,#sumpaʔ#
#sambaj#,#sabaj#
#sabaj#,#sabaj#
#sampuk#,#sampok#
#sapuk#,#sampok#
#sajaŋ#,#sajaŋ#
#sabeʔa#,#saʔba#
#siraŋ#,#siraŋ#
#siduŋ#,#siroŋ#
#sudʒud#,#surod#
#tebas#,#tabas#
#tabeʔ#,#tabaʔ#
#tadtad#,#tadtad#
#takelub#,#taklob#
#taklub#,#taklob#
#tambuk#,#tambok#
#tambeŋ#,#tamboŋ#
#tepuʔ#,#tapoʔ#
#tikuʔ#,#tikoʔ#
#tiliŋ#,#tiliŋ#
#timbaŋ#,#timbaŋ#
#tubeliʔ#,#tubliʔ#
#tubliʔ#,#tubliʔ#
#taked#,#tukad#
#tumpuk#,#tumpok#
#tuad#,#tuwad#
#tuas#,#tuwas#
#tuŋaw#,#tuŋaw#
#tuʔelaŋ#,#tuʔlaŋ#
#tabas#,#tabas#
#tapal#,#tapal#
#tapaj#,#tapaj#
#tadu#,#taro#
#taeb#,#taʔob#
#tirus#,#tiros#
#tiʔtiʔ#,#titiʔ#
#tumaŋ#,#tumaŋ#
#tunaj#,#tunaj#
#edeɡ#,#udoɡ#
#uɡaliʔ#,#uɡaliʔ#
#ulit#,#ulit#
#untul#,#untol#
#upak#,#upak#
#ʔudipen#,#uripon#
#ʔutas#,#utas#
#utuŋ#,#utoŋ#
