input,output
#abuat#,#bat#
#aɡem#,#aɡəm#
#ʔalaŋ#,#alaŋ#
#alud#,#alud#
#ambun#,#ambun#
#ataŋ#,#ataŋ#
#bakul#,#bakul#
#batuk#,#batuk#
#dalu#,#daləw#
#ɡakɡak#,#ɡaɡak#
#ɡetɡet#,#ɡəɡət#
#ikedʒ#,#ikəd#
#ipak#,#ipak#
#zelaʔ#,#dʒəlaʔ#
#kalat#,#kalat#
#kutkut#,#kukut#
#latiʔ#,#latiʔ#
#leket#,#ləkət#
#kitek#,#mitək#
#hemel#,#mən#
#nupi#,#nupəj#
#paliʔ#,#paliʔ#
#padaw#,#paɗaw#
#put#,#put#
#pesit#,#pəsit#
#ʔudipen#,#ripən#
#sakaj#,#sakaj#
#sindek#,#siɗək#
#sidek#,#siɗək#
#sudʒud#,#surud#
#seput#,#səput#
#sedem#,#səɗəm#
#tidus#,#tiɗus#
#tuʔelaŋ#,#tulaŋ#
#tumid#,#tumid#
#ujut#,#uzut#
#aʔa#,#a#
#hembek#,#əmbək#
#hebek#,#əmbək#
