input,output
#aɡas#,#aɡas#
#aŋehud#,#aŋhud#
#aŋhud#,#aŋhud#
#basbas#,#basbas#
#baŋkaw#,#baŋkaw#
#baŋkaj#,#baŋkaj#
#bekadʒ#,#bekad#
#beladʒ#,#belad#
#bituk#,#bituk#
#biŋbiŋ#,#biŋbiŋ#
#buɡis#,#buɡis#
#buhat#,#buhat#
#buhis#,#buhis#
#bulaŋ#,#bulaŋ#
#buliɡ#,#buliɡ#
#buntit#,#buntit#
#buŋkuɡ#,#buŋkuɡ#
#buŋkus#,#buŋkus#
#buʔu#,#buʔu#
#bataʔ#,#bataʔ#
#dakdak#,#dakdak#
#dapit#,#dapit#
#dapit#,#dapit#
#deket#,#deket#
#desek#,#desek#
#ɡaliŋ#,#ɡaliŋ#
#ɡamak#,#ɡamak#
#ɡilek#,#ɡilek#
#ɡujud#,#ɡujud#
#hadiʔ#,#hadiʔ#
#iɲat#,#inat#
#ias#,#ijas#
#kahir#,#kahil#
#kalasaɡ#,#kalasaɡ#
#kasuli#,#kasili#
#ɡasiŋ#,#kasiŋ#
#kajab#,#kajab#
#kidaj#,#kilaj#
#ken#,#kun#
#kezut#,#kurut#
#kua#,#kuwa#
#ladʒa#,#lala#
#lamudʒ#,#lamud#
#lantaj#,#lantaj#
#lapas#,#lapas#
#lawa#,#lawa#
#lawaŋ#,#lawaŋ#
#lawaŋ#,#lawaŋ#
#laŋuj#,#laŋuj#
#laʔu#,#laʔu#
#lebas#,#lebas#
#lepet#,#lepet#
#liad#,#liad#
#libas#,#libas#
#liŋɡis#,#liɡis#
#liɡis#,#liɡis#
#luɡit#,#luɡit#
#lunlun#,#lunlun#
#lucut#,#lusut#
#lutuʔ#,#lutuʔ#
#luʔuk#,#luuk#
#madaŋ#,#maraŋ#
#paku#,#pako#
#pantad#,#pantad#
#paspas#,#paspas#
#pated#,#pated#
#patik#,#patik#
#patiukan#,#patijukan#
#paʔit#,#pait#
#paŋpaŋ#,#paŋpaŋ#
#pintas#,#pitas#
#pitas#,#pitas#
#pukaw#,#pukaw#
#punpun#,#punpun#
#puntir#,#puntil#
#putir#,#puntil#
#puspus#,#puspus#
#puas#,#puwas#
#puŋpuŋ#,#puŋpuŋ#
#sabeʔa#,#sabʔa#
#sadab#,#salab#
#salapid#,#salapid#
#sapsap#,#sapsap#
#saʔup#,#saup#
#sedsed#,#sedsed#
#sidem#,#sirem#
#sumpaʔ#,#sumpaʔ#
#tabas#,#tabas#
#tambedʒ#,#tabed#
#taʔebaŋ#,#tabʔaŋ#
#taʔbaŋ#,#tabʔaŋ#
#tadu#,#tadu#
#tadu#,#taru#
#taman#,#taman#
#tanaŋaw#,#tanaŋaw#
#tandiŋ#,#tandiŋ#
#tapaj#,#tapaj#
#teŋteŋ#,#teŋteŋ#
#timbaŋ#,#timbaŋ#
#tabeʔ#,#tabaʔ#
