input,output
#hambin#,#abin#
#ambek#,#abək#
#abek#,#abək#
#akaŋ#,#akaŋ#
#ʔalat#,#alat#
#ambun#,#ambun#
#ajud#,#ajod#
#badʒbadʒ#,#badbad#
#balut#,#balut#
#baʔeluŋ#,#balʔoŋ#
#basbas#,#basbas#
#baŋkaj#,#baŋkaj#
#benuaŋ#,#benwaŋ#
#balantik#,#bilatek#
#balatik#,#bilatek#
#balun#,#bilon#
#bilin#,#bilin#
#balun#,#bilon#
#biʔas#,#bijas#
#bukel#,#bukel#
#busuŋ#,#busoŋ#
#butiti#,#butite#
#bantaʔ#,#banta#
#batak#,#batak#
#bakehaw#,#bekaw#
#bikbik#,#bekbek#
#bintul#,#bintul#
#bulus#,#bulus#
#dalih#,#dahil#
#dampil#,#dapil#
#dapil#,#dapil#
#daŋsek#,#dasek#
#dasek#,#dasek#
#zaŋkal#,#daŋkal#
#zaŋaw#,#daŋaw#
#du#,#du#
#duluŋ#,#duloŋ#
#ʔezep#,#edep#
#ʔeled#,#eled#
#elem#,#elem#
#ɡamaʔ#,#ɡama#
#ɡanti#,#ɡanti#
#ɡiak#,#ɡijak#
#hutuk#,#hutuk#
#ikedʒ#,#ikeh#
#hilu#,#ilo#
#ʔinit#,#init#
#kaban#,#kaban#
#kabasi#,#kabase#
#kalasaɡ#,#kalasaɡ#
#kamkam#,#kamkam#
#ken#,#kan#
#kanuʔus#,#kanos#
#kindat#,#kidat#
#kinzep#,#kidep#
#kizep#,#kidep#
#kuruŋ#,#kuluŋ#
#kundul#,#kundul#
#kunem#,#kunəm#
#kusut#,#kusut#
#kaja#,#kaja#
#kiɲam#,#kenam#
#kezut#,#kədut#
#kain#,#kεn#
#ladʒa#,#lade#
#lakaj#,#lakaj#
#lambajuŋ#,#lambajuŋ#
#lampin#,#lampen#
#lasem#,#lasem#
#laslas#,#laslas#
#ʔalesem#,#lasem#
#lawaŋ#,#lawaŋ#
#lebak#,#lebak#
#lekep#,#lekep#
#liŋɡis#,#liɡis#
#liɡis#,#liɡis#
#lindur#,#lindul#
#lupiʔ#,#lupi#
#luʔuk#,#luuk#
#lumpuʔ#,#lumpu#
#lekup#,#ləkop#
#muʔmuʔ#,#mumo#
#muteʔ#,#muta#
#mismis#,#mesmes#
#paku#,#pako#
#paletik#,#paltik#
#padaŋ#,#paraŋ#
#pisan#,#pensan#
#pilak#,#pilak#
#pundut#,#pudut#
#puju#,#pujo#
#paʔis#,#pais#
#pakaw#,#pakaw#
#paju#,#pajo#
#pajuŋ#,#pajoŋ#
#pilat#,#pilat#
#punpun#,#ponpon#
#pelpel#,#pəlpəl#
#penpen#,#pənpən#
#sabeʔa#,#saba#
#sambaw#,#sabaw#
#sabaw#,#sabaw#
#sabit#,#sabit#
#sabut#,#sabut#
#sandet#,#sadet#
#sadet#,#sadet#
#sarapaŋ#,#salapaŋ#
#salatan#,#salatan#
#sabat#,#sambat#
#sampuk#,#sapuk#
#sapuk#,#sapuk#
#saŋal#,#saŋal#
#saŋɡaʔ#,#saŋɡa#
#seli#,#seli#
#siduŋ#,#siduŋ#
#siŋehet#,#siŋet#
#siŋhet#,#siŋet#
#subeŋ#,#subəŋ#
#sukat#,#sukat#
#sulit#,#sulit#
#suruŋ#,#suluŋ#
#salin#,#salin#
#saweʔaʔ#,#sawa#
#sajaŋ#,#sajaŋ#
#siɡaj#,#siɡaj#
#subuk#,#subuk#
#sumpaʔ#,#sumpa#
#selat#,#səlat#
#sepaʔ#,#səpa#
#tabtab#,#tabtab#
#tabas#,#tabas#
#tadtad#,#tadtad#
#taɡal#,#taɡal#
#taruk#,#taluk#
#tampas#,#tapas#
#tapas#,#tapas#
#tatal#,#tatal#
#tawtaw#,#tawtaw#
#tiʔtiʔ#,#titi#
#tukad#,#tukad#
#tukil#,#tukil#
#tuʔelaŋ#,#tulaŋ#
#tuad#,#tuwad#
#tabas#,#tabas#
#tubeliʔ#,#tubli#
#tubliʔ#,#tubli#
#tunaj#,#tunaj#
#teneŋ#,#tənəŋ#
#udahik#,#udek#
#uɡaliʔ#,#uɡali#
#ʔutas#,#utas#
#utus#,#utus#
#ujun#,#ujon#
#wasaj#,#wasaj#
#aka#,#aka#
#andap#,#andep#
#hawan#,#awan#
#ʔuntaj#,#ontaj#
#ŋatŋat#,#ŋatŋat#
