input,output
#kasuli#,#asuli#
#apaʔpaʔ#,#afaʔfaʔ#
#ʔaninuŋ#,#anineŋ#
#pelet#,#fulot#
#peled#,#fulot#
#ɡetus#,#ɡutos#
#kiteŋ#,#hiteŋ#
#kuɡem#,#huɡom#
#delek#,#hulu#
#ken#,#hun#
#lubuk#,#lupok#
#maɲa#,#maɲa#
#barasbas#,#palaspas#
#buŋkaʔ#,#pokkaʔ#
#buntan#,#pontan#
#butuŋ#,#puteŋ#
#sawaliʔ#,#saɡwaleʔ#
#siksik#,#sesse#
#selsel#,#sotsot#
#suʔsuʔ#,#soʔsoʔ#
#tampar#,#tampat#
#taʔebaŋ#,#taʔpaŋ#
#taʔbaŋ#,#taʔpaŋ#
#tiʔtiʔ#,#teʔteʔ#
#teŋkuk#,#toŋho#
#tuʔelaŋ#,#toʔlaŋ#
#ŋadaʔ#,#ŋahaʔ#
#ŋaʔŋaʔ#,#ŋaʔŋaʔ#
