input,output
#alud#,#alud#
#abuat#,#buat#
#busuŋ#,#busuŋ#
#kezut#,#kədtut#
#laklak#,#lallak#
#lawaŋ#,#lawaŋ#
#lebuɡ#,#lebpoɡ#
#leɲedʒ#,#lənnod#
#laŋkuas#,#ləŋkuas#
#padaŋ#,#padaŋ#
#paʔit#,#pait#
#pakaw#,#pakkow#
#paŋpaŋ#,#pappaŋ#
#pasaŋ#,#pasaŋ#
#piket#,#pikot#
#pilat#,#pilat#
#puncek#,#punsok#
#sadab#,#sarab#
#saŋit#,#saŋit#
#seɡaʔ#,#seɡko#
#sidem#,#sidom#
#sidʒem#,#sidtom#
#seput#,#sipput#
#siduŋ#,#siruŋ#
#cekcek#,#soksok#
#suker#,#sukkol#
#seka#,#səkko#
#cekuk#,#səkkuk#
#selaŋ#,#səllaŋ#
#senduk#,#sənduk#
#surambi#,#sərambi#
#seraj#,#səraj#
#seŋeʔaw#,#səŋow#
#seŋʔaw#,#səŋow#
#tabas#,#tabas#
#tabid#,#tabid#
#taŋɡuŋ#,#taŋɡuŋ#
#tinzak#,#tindak#
#tizak#,#tindak#
#tunaj#,#tunaj#
