input,output
#adaduʔ#,#adaddu#
#edeɡ#,#addaɡ#
#hediʔ#,#addi#
#aʔedas#,#adaːs#
#eket#,#akkat#
#ekup#,#akkup#
#aliten#,#alitan#
#ʔeled#,#allad#
#ʔalesem#,#alsam#
#anabu#,#anabo#
#hametak#,#antaʔ#
#etip#,#assip#
#ataʔ#,#atta#
#ajuŋ#,#ajoŋ#
#ʔajam#,#ajaːm#
#badʒbadʒ#,#badbaːd#
#beken#,#bakkan#
#baladaw#,#baladaw#
#balalantiʔ#,#balansi#
#balintaŋ#,#balitaːŋ#
#balitaŋ#,#balitaːŋ#
#balabeɡ#,#balabaɡ#
#balatuŋ#,#balatoŋ#
#balaʔ#,#balaʔ#
#banban#,#bamban#
#baraŋaj#,#baraŋaj#
#beŋbeŋ#,#baŋbaŋ#
#bitin#,#bisin#
#beŋil#,#biŋil#
#bukaw#,#bukkaw#
#bunut#,#bunut#
#budiŋ#,#buriŋ#
#buriŋ#,#buriŋ#
#buʔaw#,#buʔaw#
#babuj#,#babuj#
#balun#,#balon#
#budʒak#,#buɡaʔ#
#buliɡ#,#buliɡ#
#burik#,#buriʔ#
#zaŋaw#,#daŋaw#
#ziteʔ#,#dita#
#ʔibaw#,#ibbaw#
#iŋkem#,#ikkam#
#hiket#,#ikat#
#ian#,#iaːn#
#kaban#,#kabaːn#
#kalasaɡ#,#kalataɡ#
#kasep#,#kassap#
#ketas#,#kassaːt#
#kawiŋ#,#kawiŋ#
#kuntit#,#kutit#
#kutit#,#kutit#
#kua#,#kuwa#
#lakaj#,#lakaj#
#lamlam#,#lamlam#
#lamudʒ#,#lammuɡ#
#leɲep#,#lannap#
#lempaɡ#,#lappaɡ#
#lepaɡ#,#lappaɡ#
#lepas#,#lappas#
#lepet#,#lappat#
#lasem#,#lassam#
#liŋed#,#liŋad#
#liŋeʔet#,#liŋat#
#liŋʔet#,#liŋat#
#laslas#,#lalat#
#muncuŋ#,#motoŋ#
#mucuŋ#,#motoŋ#
#pekaw#,#pakkaw#
#paku#,#pako#
#paria#,#parija#
#pada#,#pada#
#pakaw#,#pakaw#
#paladʒ#,#palaːd#
#pajuŋ#,#pajoŋ#
#pilat#,#pilaːt#
#pipit#,#pipit#
#rebaʔ#,#rabba#
#rebas#,#rabbas#
#rambit#,#rabit#
#rabit#,#rabit#
#repaɡ#,#rappaɡ#
#radam#,#radam#
#sabeʔa#,#saba#
#sabit#,#sabit#
#saleʔit#,#salʔit#
#salʔit#,#salʔit#
#tikep#,#sikaːp#
#siraŋ#,#silaŋ#
#siʔit#,#siit#
#suma#,#suma#
#tabeʔ#,#tabaː#
#taŋkeb#,#takkab#
#takeb#,#takkab#
#tekeb#,#takkab#
#cawi#,#tawi#
#taked#,#taŋkaːd#
#tuʔelaŋ#,#tulaːŋ#
#tuʔaw#,#tuwaw#
#tudʒaw#,#tuxaw#
#samak#,#tamaʔ#
#cubit#,#tubit#
#tubuŋ#,#tuboŋ#
#tuŋaw#,#tuŋaw#
#wasaj#,#wataj#
#ɡamat#,#xamat#
#riken#,#xikan#
#ɡarit#,#xarit#
#ʔajam#,#ajam#
#ikedʒ#,#ikaːɡ#
#ʔinit#,#init#
#ʔinut#,#inut#
#uki#,#oki#
#hukas#,#ukas#
#ujun#,#ujon#
#ŋatŋat#,#ŋaŋat#
