input,output
#leɲedʒ#,#ahned#
#kezut#,#akdot#
#andap#,#andap#
#selaŋ#,#aslaŋ#
#sedep#,#aslep#
#lemaʔ#,#axma#
#lecut#,#axsot#
#letak#,#axtak#
#epid#,#aʔpid#
#biŋkis#,#bikis#
#kiraj#,#chiraj#
#eŋɡa#,#eŋɡa#
#ɡateʔ#,#ɡata#
#hataʔ#,#hata#
#itik#,#itik#
#kapuk#,#kapok#
#kaŋkaŋ#,#kaŋkaŋ#
#kemkem#,#kemkem#
#kuruŋ#,#koroŋ#
#libas#,#livas#
#utuŋ#,#otoŋ#
#pispis#,#pispis#
#puliŋ#,#poliɲ#
#putut#,#potot#
#putuŋ#,#potoŋ#
#zaʔet#,#raet#
#dahdah#,#rahdah#
#saɡsaɡ#,#saɡsaɡ#
#sadab#,#sarab#
#sarapaŋ#,#sarapaŋ#
#sabat#,#savat#
#sabuŋ#,#savoŋ#
#selsel#,#sexsex#
#sikep#,#sichep#
#siʔit#,#siit#
#sipat#,#sipat#
#siduŋ#,#siroŋ#
#supit#,#sopit#
#sudʒud#,#sorod#
#tabtab#,#tabtab#
#tapaj#,#tapaj#
#tabeʔ#,#tava#
#taʔebaŋ#,#tavaŋ#
#taʔbaŋ#,#tavaŋ#
#tikuʔ#,#ticho#
#tubuŋ#,#tovoŋ#
#tuŋaw#,#toŋaw#
#tuʔelaŋ#,#tuʔxaŋ#
#bakul#,#vakol#
#bala#,#vala#
#balantik#,#vaxatich#
#balatik#,#vaxatich#
#balun#,#vaxon#
#beŋbeŋ#,#veŋbeŋ#
#bilin#,#vilin#
#bukel#,#vokex#
#butiti#,#votiti#
#wasaj#,#wasaj#
#lantaw#,#xataw#
#lataw#,#xataw#
#lutuʔ#,#xoto#
#ŋazel#,#ŋarex#
