input,output
#alaʔ#,#ahaʔ#
#ansaw#,#ansau#
#ʔantas#,#antas#
#acaŋ#,#asaŋ#
#ʔabiʔ#,#avi#
#ajaw#,#azou#
#aʔa#,#aʔa#
#balatuŋ#,#bahatuŋ#
#bawaŋ#,#bavaŋ#
#baŋkaj#,#baŋkaj#
#bajawak#,#biavak#
#belet#,#bohot#
#butak#,#buntak#
#dapit#,#dapit#
#ɡaluŋ#,#ɡahuŋ#
#ɡateʔ#,#ɡata#
#ɡiak#,#ɡizak#
#ɡeleŋ#,#ɡohoŋ#
#ɡenep#,#ɡonop#
#laɲut#,#hanut#
#lapas#,#hapas#
#lampus#,#hapus#
#lapus#,#hapus#
#rauŋ#,#hauɡ#
#liad#,#hiad#
#likup#,#hikup#
#labuʔ#,#hobuʔ#
#lepiʔ#,#hopi#
#lepet#,#hopot#
#laŋkuas#,#hoŋkuas#
#lunek#,#hunok#
#ludem#,#huom#
#lupiʔ#,#hupiʔ#
#luŋun#,#huŋun#
#ibut#,#ibut#
#insan#,#insan#
#ʔinut#,#inut#
#inut#,#inut#
#kaluŋ#,#kahuŋ#
#katkat#,#kakat#
#kakaŋ#,#kakaŋ#
#kamaŋ#,#kamaŋ#
#kapal#,#kapa#
#kawaʔ#,#kavaʔ#
#kiɲam#,#kinam#
#kiŋkiŋ#,#kiŋkiŋ#
#kezut#,#kodut#
#ketket#,#kokot#
#ketik#,#kotik#
#kua#,#kuvo#
#ŋujaʔ#,#kuzaʔ#
#kuŋkuŋ#,#kuŋkuŋ#
#muʔmuʔ#,#mumuʔ#
#ʔezep#,#odop#
#esem#,#onsom#
#padaw#,#padau#
#padaŋ#,#padaŋ#
#paŋpaŋ#,#pampaŋ#
#pantek#,#pantok#
#paspas#,#papas#
#pated#,#patod#
#paŋi#,#paŋi#
#pilat#,#pihat#
#picuk#,#pisuk#
#pudak#,#puak#
#puliʔ#,#puhi#
#putus#,#putus#
#puŋɡu#,#puŋɡu#
#sandaŋ#,#sandaŋ#
#sapsap#,#sasap#
#sanduk#,#sauk#
#sabit#,#savit#
#sabuʔ#,#savu#
#saŋaj#,#saŋaj#
#sindek#,#sidok#
#sidek#,#sidok#
#sikuʔan#,#sikuvan#
#simpuk#,#simpuk#
#sihud#,#sizud#
#sebet#,#sobot#
#seket#,#sokot#
#senduk#,#sonduk#
#sukat#,#sukat#
#suil#,#suvi#
#ta#,#ta#
#tapiʔ#,#tapiʔ#
#taŋaʔ#,#taŋaʔ#
#taŋɡuŋ#,#taŋɡuŋ#
#timbaŋ#,#timbaŋ#
#tisuk#,#tinsuk#
#tepet#,#topot#
#turali#,#tuahi#
#tuʔelaŋ#,#tuhaŋ#
#tuʔelid#,#tuhid#
#tuʔlid#,#tuhid#
#tukad#,#tukad#
#ʔulam#,#uham#
#ulus#,#uhus#
#hurus#,#uhus#
#huŋkab#,#ukab#
#hukab#,#ukab#
#hukas#,#ukas#
#undur#,#undul#
#hunus#,#unus#
#ujeɡ#,#uzoɡ#
#bakehaw#,#vakau#
#wikwik#,#vivik#
#bubud#,#vuvud#
