input,output
#ʔalesem#,#acem#
#adu#,#adu#
#aɡem#,#aɡem#
#azak#,#adʒak#
#ambiʔ#,#ambih#
#anzak#,#andʒak#
#ʔasak#,#asak#
#hasuk#,#asuk#
#hataʔ#,#atah#
#ajak#,#ajak#
#baɡaj#,#baɡe#
#baledʒ#,#baleŋ#
#bali#,#bali#
#baliŋ#,#baliŋ#
#balut#,#balut#
#banban#,#banban#
#basbas#,#basbas#
#baŋkaj#,#baŋke#
#bek#,#bek#
#benaŋ#,#benaŋ#
#benben#,#benben#
#benehiʔ#,#benih#
#betaʔ#,#betah#
#beteken#,#beteken#
#beŋbeŋ#,#beŋbeŋ#
#bidaŋ#,#bidaŋ#
#binuaŋ#,#binuaŋ#
#biŋkaj#,#biŋke#
#buzuk#,#budʒuk#
#butak#,#butak#
#buŋkus#,#buŋkus#
#baisan#,#besan#
#ceneb#,#cernem#
#curik#,#curik#
#daliŋ#,#daliŋ#
#elem#,#elem#
#ema#,#ema#
#embaʔ#,#embah#
#ʔembun#,#embun#
#embut#,#embut#
#hepak#,#empak#
#ʔempas#,#empas#
#edem#,#endem#
#endut#,#endut#
#eŋkaʔ#,#eŋkah#
#eŋker#,#eŋker#
#eŋkus#,#eŋkus#
#ɡaliŋɡaŋ#,#ɡaliŋɡaŋ#
#ɡaru#,#ɡaru#
#ɡasiŋ#,#ɡasiŋ#
#ɡaŋɡaŋ#,#ɡaŋɡaŋ#
#ɡemes#,#ɡemes#
#ɡeteʔ#,#ɡetah#
#ɡirɡir#,#ɡirɡir#
#ɡumis#,#ɡumis#
#ɡujuŋ#,#ɡujuŋ#
#ɡenep#,#ɡənəp#
#idas#,#idas#
#izep#,#idep#
#izuk#,#idʒuk#
#imput#,#imput#
#inem#,#inem#
#hinzam#,#indʒam#
#ʔipuʔ#,#ipuh#
#ʔiriŋ#,#iriŋ#
#isaŋ#,#isaŋ#
#iuŋ#,#iuŋ#
#iŋet#,#iŋet#
#iŋkaŋ#,#iŋkaŋ#
#zeliŋ#,#dʒeliŋ#
#kandis#,#kandis#
#kaŋkaŋ#,#kaŋkaŋ#
#kedik#,#kedik#
#kedit#,#kedit#
#keleŋ#,#keleŋ#
#kemut#,#kemut#
#keskes#,#keskes#
#kiap#,#kiap#
#kupkup#,#kupkup#
#kuriŋ#,#kuriŋ#
#laɡu#,#laɡu#
#laklak#,#laklak#
#lamlam#,#lamlam#
#landak#,#landak#
#lanteʔas#,#lantas#
#lantʔas#,#lantas#
#lateʔas#,#lantas#
#latʔas#,#lantas#
#lawaŋ#,#lawaŋ#
#labaj#,#lawe#
#lajak#,#lajak#
#lajaŋ#,#lajaŋ#
#laŋkeb#,#laŋkem#
#lakeb#,#laŋkem#
#liŋaj#,#liŋe#
#lubuk#,#lubuk#
#majaŋ#,#majaŋ#
#paŋku#,#maŋku#
#pezem#,#medem#
#pispis#,#mispis#
#mukmuk#,#mumuk#
#putik#,#mutik#
#salaj#,#nale#
#sajat#,#najat#
#terus#,#nerus#
#suan#,#nuan#
#tuaŋ#,#nuaŋ#
#nuŋnuŋ#,#nuŋnuŋ#
#padaŋ#,#padaŋ#
#paɡi#,#paɡi#
#paɡeʔ#,#paɡuh#
#paku#,#paku#
#palis#,#palis#
#palpal#,#palpal#
#paluŋ#,#paluŋ#
#paras#,#paras#
#pasaŋ#,#pasaŋ#
#paŋɡaŋ#,#paŋɡaŋ#
#pelpel#,#pelpel#
#pera#,#pera#
#peteŋ#,#peteŋ#
#pulpul#,#pulpul#
#putik#,#putik#
#rambu#,#rambu#
#rambut#,#rambut#
#ruʔaɡ#,#ruhak#
#sabut#,#sabut#
#saɡa#,#saɡa#
#salin#,#salin#
#salaj#,#sale#
#sama#,#sama#
#sawit#,#sawit#
#sajaŋ#,#sajaŋ#
#saŋkeb#,#saŋkem#
#sakeb#,#saŋkem#
#selaŋ#,#selaŋ#
#sempit#,#sempit#
#senduk#,#senduk#
#sempit#,#sepit#
#sera#,#sera#
#siaŋ#,#siaŋ#
#siɡaj#,#siɡe#
#sik#,#sik#
#siŋkat#,#siŋkat#
#suliŋ#,#suliŋ#
#sumbad#,#sumban#
#sumbaŋ#,#sumbaŋ#
#surambiʔ#,#surambih#
#suruŋ#,#suruŋ#
#suŋar#,#suŋar#
#tambaʔ#,#tambah#
#tapak#,#tapak#
#tapaj#,#tape#
#tapis#,#tapis#
#takup#,#taŋkup#
#tepa#,#tepa#
#tepap#,#tepap#
#timbaŋ#,#timbaŋ#
#timpuk#,#timpuk#
#tipuk#,#timpuk#
#tipak#,#tipak#
#tuaʔ#,#tuah#
#tuŋkuk#,#tukuk#
#tukuk#,#tukuk#
#tuŋaw#,#tuŋo#
#u#,#u#
#uit#,#uit#
#uzi#,#udʒi#
#ʔulam#,#ulam#
#uliʔ#,#ulih#
#ŋatŋat#,#ŋatŋat#
#ŋutŋut#,#ŋutŋut#
