input,output
#sineŋ#,#neŋ#
#abaŋ#,#abaŋ#
#apid#,#apir#
#anduʔ#,#aru#
#aduʔ#,#aru#
#acaŋ#,#asaŋ#
#asaŋ#,#asaŋ#
#wasaj#,#asei#
#ataŋ#,#ataŋ#
#ati#,#ati#
#ati#,#atiʔ#
#abut#,#avut#
#ajak#,#ajak#
#ajaw#,#ajaw#
#ajud#,#ajun#
#bakul#,#bakun#
#basuŋ#,#basuŋ#
#bawaŋ#,#bawaŋ#
#bawaŋ#,#bawaŋ#
#baɲat#,#baɲat#
#baŋbaŋan#,#bebaŋan#
#beketut#,#bekatut#
#beŋkek#,#bekek#
#balantik#,#belatik#
#balatik#,#belatik#
#baliliŋ#,#beliliŋ#
#benuaŋ#,#benuaŋ#
#binuaŋ#,#benuaŋ#
#berit#,#berit#
#buʔekuŋ#,#bukuŋ#
#buras#,#burah#
#budiŋ#,#buriŋ#
#buriŋ#,#buriŋ#
#busuŋ#,#busuŋ#
#busuŋ#,#busuŋ#
#buntit#,#butit#
#buŋet#,#buŋet#
#dapit#,#dapit#
#dapit#,#dapit#
#ʔudipen#,#dipen#
#duluŋ#,#duluŋ#
#eɡaŋ#,#ɡaŋ#
#eɡaŋ#,#ɡaŋ#
#ɡek#,#ɡek#
#ɡiwaʔ#,#ɡiwa#
#sambaj#,#habei#
#sabaj#,#habei#
#sambuŋ#,#habuŋ#
#sedut#,#herut#
#sindek#,#hidek#
#sidek#,#hidek#
#silet#,#hilet#
#sineŋ#,#hineŋ#
#sindep#,#hirep#
#sidep#,#hirep#
#siŋehet#,#hiŋet#
#siŋhet#,#hiŋet#
#sunduŋ#,#huduŋ#
#suduŋ#,#huduŋ#
#seput#,#həput#
#ceɡuk#,#həŋɡuk#
#ias#,#iah#
#ikedʒ#,#iken#
#ikedʒ#,#iker#
#ilet#,#ilet#
#ʔipuʔ#,#ipu#
#ʔipuʔ#,#ipuʔ#
#idas#,#irah#
#ʔituŋ#,#ituŋ#
#zaŋaw#,#dʒaŋaw#
#zelaʔ#,#dʒəla#
#kandiŋ#,#kadiŋ#
#hekas#,#kah#
#kalat#,#kalat#
#kamaŋ#,#kamaŋ#
#kapal#,#kapal#
#kawaŋ#,#kawaŋ#
#kawiŋ#,#kawiŋ#
#kajaŋ#,#kajaŋ#
#kezep#,#kedʒep#
#kezet#,#kedʒet#
#kesiŋ#,#kesiŋ#
#keted#,#keten#
#ketut#,#ketut#
#keti#,#keteʔ#
#kiut#,#kiut#
#kuzut#,#kudʒut#
#kulub#,#kulum#
#lakebaŋ#,#labaŋ#
#lakbaŋ#,#labaŋ#
#lalaw#,#lalaw#
#lasaŋ#,#lasaŋ#
#lantaw#,#latau#
#lataw#,#latau#
#labeŋ#,#laveŋ#
#lawaŋ#,#lawaŋ#
#lajaŋ#,#lajaŋ#
#leket#,#leket#
#lepiʔ#,#lepi#
#leɲedʒ#,#leɲen#
#leɲep#,#leɲep#
#lidem#,#lidem#
#linis#,#lini#
#lidik#,#lirik#
#liŋaj#,#liŋei#
#liŋed#,#liŋen#
#liŋu#,#liŋoʔ#
#luŋun#,#luŋun#
#lemeʔ#,#ləma#
#berit#,#merit#
#muncuŋ#,#musuŋ#
#mucuŋ#,#musuŋ#
#taked#,#nakər#
#pandet#,#padet#
#padet#,#padet#
#epak#,#pak#
#hepak#,#pak#
#paku#,#pakoʔ#
#paku#,#pakoʔ#
#palaw#,#palau#
#palu#,#paloʔ#
#panit#,#panit#
#padem#,#parem#
#panduŋ#,#paruŋ#
#paduŋ#,#paruŋ#
#paʔit#,#paʔit#
#piŋkuŋ#,#pikuŋ#
#pukas#,#pukah#
#pulaŋ#,#pulaŋ#
#pusuŋ#,#pusuŋ#
#saŋkep#,#sakep#
#sakep#,#sakep#
#salentek#,#seletek#
#saletek#,#seletek#
#celuk#,#seluk#
#sempit#,#sepit#
#siluk#,#siluk#
#sidiŋ#,#siriŋ#
#suɡi#,#suɡi#
#sukat#,#sukat#
#suliŋ#,#suliŋ#
#suŋit#,#suŋit#
#etak#,#tak#
#takaw#,#takaw#
#taked#,#takər#
#tapaj#,#tapej#
#tenduk#,#teduk#
#teduk#,#teduk#
#tekak#,#tekak#
#teŋkuk#,#tekuk#
#tepet#,#tepet#
#tedis#,#tereh#
#tedes#,#tereh#
#tebeŋ#,#teveŋ#
#tikup#,#tikup#
#tiliŋ#,#tiliŋ#
#tuek#,#tuek#
#tuɡal#,#tuɡal#
#tuʔelaŋ#,#tulaŋ#
#tuʔelaŋ#,#tulaŋ#
#tuluj#,#tuluj#
#tumid#,#tumin#
#tumid#,#tumir#
#tubuŋ#,#tuvuŋ#
#ubek#,#ubek#
#udahik#,#udik#
#uhaʔ#,#uha#
#huzam#,#udʒam#
#hukas#,#ukah#
#ulat#,#ulat#
#ulat#,#ulat#
#ulila#,#ulaʔ#
#umpis#,#upeh#
#uŋus#,#usuŋ#
#uŋus#,#usuŋ#
#ujut#,#ujut#
#sempit#,#ɲepit#
#sineŋ#,#ɲineŋ#
#sukat#,#ɲukat#
#kalat#,#ŋalat#
