input,output
#saɡsaɡ#,#aaɡ#
#abaŋ#,#abaŋ#
#ambet#,#abet#
#ʔabis#,#abi#
#aɡaɡ#,#aɡaɡ#
#alud#,#alud#
#asih#,#asih#
#ataʔ#,#ataʔ#
#awer#,#awer#
#cawi#,#awih#
#aŋehud#,#aŋud#
#aŋhud#,#aŋud#
#bakul#,#bakul#
#balaŋ#,#balaŋ#
#bataʔ#,#bataʔ#
#bawaŋ#,#bawaŋ#
#bebak#,#bebʰak#
#benben#,#bebʰen#
#bediʔ#,#bedʰiʔ#
#beken#,#beken#
#beŋil#,#beŋil#
#bilaʔ#,#bilaʔ#
#bui#,#bui#
#buleŋ#,#buleŋ#
#buntan#,#butan#
#dalu#,#daluh#
#zaʔet#,#daʔet#
#dakdak#,#dedʰak#
#durus#,#duru#
#edaŋ#,#edʰaŋ#
#ʔeliŋ#,#eliŋ#
#emuŋ#,#emuŋ#
#epak#,#epak#
#hepak#,#epak#
#epid#,#epid#
#sempit#,#epit#
#eput#,#eput#
#ʔereŋ#,#ereŋ#
#eteb#,#eteb#
#ɡasiŋ#,#ɡaiŋ#
#ian#,#ian#
#ebuʔ#,#ibʰuʔ#
#iŋkab#,#ikab#
#silad#,#ilad#
#ila#,#ileh#
#ilek#,#ilək#
#iɲat#,#inat#
#iraŋ#,#iraŋ#
#kazaŋ#,#kadaŋ#
#kalat#,#kalat#
#kulub#,#kulub#
#kezep#,#kədʰəp#
#ken#,#kən#
#ɡenep#,#kənəp#
#kerud#,#kərud#
#lamudʒ#,#lamud#
#latiʔ#,#latiʔ#
#laŋuj#,#laŋuj#
#laʔu#,#laʔuh#
#libut#,#libut#
#lidik#,#lidik#
#liɡet#,#liɡet#
#lipis#,#lipi#
#lutak#,#lutak#
#luŋun#,#luŋun#
#bebak#,#mebʰak#
#benben#,#mebʰen#
#bilaʔ#,#milaʔ#
#paɡpaɡ#,#məpaɡ#
#penpen#,#məpən#
#dakdak#,#nedʰak#
#tudʒaw#,#nudo#
#padaŋ#,#padaŋ#
#palidʒ#,#palid#
#paʔit#,#paʔit#
#paku#,#paʔuh#
#puʔpuʔ#,#pupuʔ#
#puʔpuʔ#,#pupuʔ#
#putut#,#putut#
#puet#,#puət#
#paɡpaɡ#,#pəpaɡ#
#pedped#,#pəpəd#
#penpen#,#pəpən#
#rusrus#,#ruru#
#tirus#,#sirut#
#taked#,#taked#
#telaŋ#,#telaŋ#
#tudʒaw#,#tudo#
#tuʔelaŋ#,#tulaŋ#
#tumid#,#tumid#
#tuʔa#,#tuʔəh#
#tebeŋ#,#təbʰəŋ#
#taŋaŋaʔ#,#təŋaŋaʔ#
#wasaj#,#uaj#
#uɡəŋ#,#uɡʰeŋ#
#uit#,#uit#
#uŋkuʔ#,#ukuʔ#
#ukuʔ#,#ukuʔ#
#supit#,#upit#
#upit#,#upit#
#ujut#,#ujut#
#ŋazel#,#ŋadəl#
#kerud#,#ŋərud#
#seput#,#əput#
