input,output
#amben#,#ambaŋ#
#emuŋ#,#ammuŋ#
#tuŋkup#,#annoŋkoʔ#
#anteŋ#,#antaŋ#
#epid#,#appiʔ#
#ʔasi#,#asi#
#etak#,#attaʔ#
#etik#,#attiʔ#
#ajak#,#ajaʔ#
#haŋɡa#,#aŋɡa#
#aŋkat#,#aŋkaʔ#
#baɡuh#,#baɡu#
#bekadʒ#,#bakkaraʔ#
#bakukuŋ#,#bakukuŋ#
#bakul#,#bakuʔ#
#balanak#,#balanaʔ#
#balikat#,#balika#
#belit#,#balliʔ#
#balut#,#baluʔ#
#bambaŋen#,#bambaŋaŋ#
#benaŋ#,#bannaŋ#
#banaeŋ#,#bannaŋ#
#barasbas#,#barabasaʔ#
#barajeŋ#,#barajaŋ#
#barajaŋ#,#barajaŋ#
#baraŋen#,#baraŋeŋ#
#baruɡa#,#baruɡa#
#basuŋ#,#basuŋ#
#beteŋ#,#battaŋ#
#babaw#,#bawo#
#baŋa#,#baŋa#
#baŋkulis#,#baŋkulisiʔ#
#badʒbadʒ#,#baʔbaraʔ#
#basbas#,#baʔbasaʔ#
#bidara#,#bidara#
#bintapu#,#bintapu#
#bidaŋ#,#biraŋ#
#biʔuŋ#,#biuŋ#
#biŋkudu#,#biŋkuru#
#buŋbuŋ#,#bomboŋ#
#buʔu#,#bu#
#buas#,#buasaʔ#
#buhat#,#buaʔ#
#buhis#,#buisiʔ#
#bulaŋ#,#bulaŋ#
#buliɡ#,#bulleʔ#
#buŋbuŋ#,#bumbuŋ#
#buresin#,#burassiŋ#
#burik#,#buriʔ#
#burus#,#burusuʔ#
#bucek#,#busaʔ#
#busuŋ#,#bussuŋ#
#bujaŋ#,#bujaŋ#
#buŋkus#,#buŋkusuʔ#
#cekcek#,#caʔcaʔ#
#dahdah#,#dada#
#ɡaduŋ#,#ɡaduŋ#
#ɡenep#,#ɡannaʔ#
#ɡasiŋ#,#ɡasiŋ#
#ian#,#iaŋ#
#iliŋ#,#iliŋ#
#hinzam#,#inraŋ#
#izuk#,#inruʔ#
#ʔidam#,#iraŋ#
#ʔituŋ#,#ituŋ#
#zeɡzeɡ#,#dʒadʒʔaʔ#
#kembaŋ#,#kambaŋ#
#kapin#,#kampiŋ#
#kilaw#,#kilo#
#kua#,#kua#
#kuruk#,#kuʔruʔ#
#kimpaŋ#,#kempaŋ#
#labuʔ#,#labu#
#lemaʔ#,#lamma#
#lemeʔ#,#lamma#
#lemeŋ#,#lammaŋ#
#lepas#,#lappasaʔ#
#lecut#,#lassuʔ#
#lajaŋ#,#lajaŋ#
#majaŋ#,#majaŋ#
#paku#,#paku#
#pada#,#para#
#padaŋ#,#paraŋ#
#peteŋ#,#pattaŋ#
#patuŋ#,#pattuŋ#
#pajuŋ#,#pajuŋ#
#paŋɡaŋ#,#paŋɡaŋ#
#paŋi#,#paŋi#
#pilis#,#pilisiʔ#
#pindaʔ#,#pinra#
#pintal#,#pintalaʔ#
#pitpit#,#pippiʔ#
#pucuk#,#pucuʔ#
#pulpul#,#puppuluʔ#
#puspus#,#puppusuʔ#
#salatan#,#sallataŋ#
#selat#,#sallaʔ#
#seput#,#sappuʔ#
#seraj#,#sarre#
#saur#,#sauruʔ#
#sawan#,#sawaŋ#
#seŋeʔaw#,#saŋŋo#
#seŋʔaw#,#saŋŋo#
#seket#,#sekeʔ#
#siaŋ#,#siaŋ#
#sisuʔ#,#siso#
#subeŋ#,#subaŋ#
#suliŋ#,#suliŋ#
#sulit#,#suliʔ#
#sumit#,#sumiʔ#
#teleŋ#,#tallaŋ#
#tamanaŋ#,#tamanaŋ#
#tambaŋuŋu#,#tambanunu#
#temu#,#tammu#
#tapaj#,#tape#
#tepet#,#tappaʔ#
#tebeŋ#,#taʔbaŋ#
#timbaŋ#,#timbaŋ#
#tuaʔ#,#tua#
#tukad#,#tukaʔ#
#tumpaʔ#,#tumpa#
#tunduk#,#tunruʔ#
#uzi#,#udʒi#
#umbaŋ#,#umbaŋ#
#undur#,#unduruʔ#
#ʔuntaj#,#unte#
#ʔutas#,#utasaʔ#
#ujun#,#ujuŋ#
