input,output
#ambet#,#ambet#
#ʔantem#,#antem#
#anteŋ#,#anteŋ#
#aŋɡap#,#aŋɡap#
#aɡap#,#aŋɡap#
#bacak#,#bacak#
#banelik#,#belek#
#buŋul#,#boŋol#
#biŋbiŋ#,#beŋbeŋ#
#cekcek#,#cecek#
#celep#,#celep#
#curit#,#coret#
#dilat#,#dilat#
#ɡemes#,#ɡemas#
#ɡesaʔ#,#ɡesah#
#iŋet#,#iŋet#
#zepit#,#dʒepit#
#kezep#,#kedʒep#
#kilan#,#kilan#
#kupkup#,#kukup#
#kuntit#,#kuntit#
#kutit#,#kuntit#
#ʔaliwat#,#liwat#
#liŋɡis#,#liŋɡis#
#liɡis#,#liŋɡis#
#picuk#,#pecok#
#rendeŋ#,#rendeŋ#
#sampuk#,#sampok#
#sapuk#,#sampok#
#sapeled#,#sepat#
#seŋit#,#seŋit#
