input,output
#apid#,#ampid#
#hawan#,#awan#
#ʔajam#,#ajam#
#ajut#,#ajot#
#haŋus#,#aŋus#
#bakan#,#bakan#
#bakehaw#,#bakaw#
#basbas#,#basbas#
#bataʔ#,#bata#
#baŋbaŋ#,#baŋbaŋ#
#binat#,#binat#
#bituk#,#bituk#
#biʔbiʔ#,#biʔbiʔ#
#buhaŋin#,#boaŋin#
#buhis#,#bois#
#benal#,#bonal#
#benti#,#bonti#
#buliɡ#,#boriɡ#
#bediʔ#,#boriʔ#
#bulus#,#boros#
#busuŋ#,#bosoŋ#
#butas#,#botas#
#butiti#,#botiti#
#bujuʔ#,#bojoʔ#
#beteken#,#buktun#
#buzuk#,#buruk#
#beladʒ#,#burad#
#bawaŋ#,#bawaŋ#
#dapit#,#dapit#
#ɡanti#,#ɡanti#
#ɡaliŋ#,#ɡariŋ#
#ɡawaŋ#,#ɡawaŋ#
#ɡujud#,#ɡojod#
#ʔinit#,#init#
#inem#,#inɨm#
#kakaŋ#,#kakaŋ#
#kapuk#,#kapok#
#kalasaɡ#,#karasaɡ#
#kasuli#,#kasili#
#ɡasiŋ#,#kasiŋ#
#katambak#,#katambak#
#kajab#,#kajab#
#kumut#,#komot#
#kusut#,#kosot#
#kuan#,#kowan#
#kempes#,#kupus#
#kepes#,#kupus#
#kujut#,#kujut#
#laʔin#,#lain#
#laŋkeb#,#lakob#
#lakeb#,#lakob#
#lapas#,#lapas#
#lampus#,#lapos#
#lapus#,#lapos#
#ladʒa#,#lara#
#lawas#,#lawas#
#laŋuj#,#laŋoj#
#libas#,#libas#
#kaliŋaw#,#liŋaw#
#liŋaw#,#liŋaw#
#lumpuŋ#,#lompoŋ#
#lutuʔ#,#lotoʔ#
#natek#,#natuk#
#huɲaw#,#onaw#
#hupak#,#opak#
#paʔit#,#pait#
#paku#,#pako#
#paspas#,#paspas#
#pihak#,#pijak#
#pukaw#,#pokaw#
#sabut#,#sabot#
#sapsap#,#sapsap#
#sarapaŋ#,#sarapaŋ#
#salapid#,#sarapid#
#saweʔaʔ#,#sawaʔ#
#saŋaj#,#saŋaj#
#saŋkuŋ#,#saŋkoŋ#
#sakuŋ#,#saŋkoŋ#
#cibit#,#sibit#
#siɡaj#,#siɡaj#
#sikat#,#sikat#
#sikuʔan#,#sikwan#
#silad#,#silad#
#sinaw#,#sinaw#
#sukat#,#sokat#
#suŋsuŋ#,#soŋsoŋ#
#sedʒem#,#surum#
#suŋsuŋ#,#suŋsuŋ#
#sumpaʔ#,#sompaʔ#
#tabas#,#tabas#
#tabid#,#tabid#
#takup#,#takup#
#taman#,#taman#
#tambedʒ#,#tambud#
#tanaŋaw#,#tanaŋaw#
#tandak#,#tandak#
#tanzak#,#tandak#
#tandiŋ#,#tandiŋ#
#tapis#,#tapis#
#tadu#,#taro#
#tajuɡ#,#tajuɡ#
#timbaŋ#,#timbaŋ#
#tukuŋ#,#tokoŋ#
#tapal#,#tompal#
#tuŋaw#,#toŋaw#
#tebas#,#tubas#
#tabeʔ#,#tabaʔ#
#tuad#,#towad#
#ʔalat#,#arat#
