input,output
#beteŋ#,#battoŋ#
#bakehaw#,#baŋkaw#
#baŋkaj#,#baŋkaj#
#dakdak#,#dakdak#
#zelaʔ#,#dallaʔ#
#ɡujud#,#ɡujud#
#kakaŋ#,#kakkaŋ#
#kanuʔus#,#kanuus#
#kapuk#,#kapuk#
#ɡasiŋ#,#kasiŋ#
#kiraj#,#kilaj#
#kumpul#,#kumpo#
#lebak#,#labbak#
#lekep#,#lakkop#
#lemeʔ#,#lammaʔ#
#lamudʒ#,#lamud#
#lepak#,#lappak#
#lawaŋ#,#lawaŋ#
#laŋuj#,#laŋi#
#letek#,#letek#
#libas#,#libas#
#liŋɡis#,#liɡis#
#liɡis#,#liɡis#
#lunas#,#lunas#
#paspas#,#mapas#
#madaŋ#,#maraŋ#
#majaŋ#,#majaŋ#
#tebuk#,#nabbuk#
#suliŋ#,#nuliŋ#
#suŋsuŋ#,#nunsuŋ#
#suduʔ#,#nuruʔ#
#peɡet#,#paɡɡot#
#pelet#,#pallat#
#padem#,#pawom#
#pajuŋ#,#pajuŋ#
#piket#,#pikot#
#sabut#,#sabut#
#sama#,#sama#
#seput#,#sapput#
#saŋaj#,#saŋaj#
#saŋkalan#,#saŋkaːn#
#sipat#,#sipat#
#suliŋ#,#suliŋ#
#sumpaʔ#,#sumpaʔ#
#suduʔ#,#suruʔ#
#sikat#,#sikat#
#tabas#,#tabas#
#tabeʔ#,#tabaʔ#
#tapaj#,#tapaj#
#tirus#,#tilus#
#timbaŋ#,#timbaŋ#
#timbul#,#timbul#
#kumpul#,#ŋumpo#
