input,output
#ʔantak#,#antak#
#ambun#,#ambun#
#ataʔ#,#atah#
#ajam#,#ajam#
#balbal#,#babal#
#baɡak#,#baɡak#
#balaʔ#,#balah#
#buresin#,#basin#
#baŋis#,#baŋis#
#bilalaŋ#,#bilalaŋ#
#busuŋ#,#busuəŋ#
#cekcek#,#cacak#
#cirit#,#cirit#
#ciderit#,#cirit#
#eŋkaŋ#,#eŋkaŋ#
#eŋik#,#eŋek#
#indu#,#indu#
#zariaŋaw#,#dʒariaŋau#
#zutzut#,#dʒudʒut#
#kalikiʔ#,#kelikeh#
#kulintaŋ#,#kelentaŋ#
#kulintaŋ#,#kelintaŋ#
#lampus#,#lampus#
#lapus#,#lampus#
#lapak#,#lapak#
#lapas#,#lapas#
#latiŋ#,#latiŋ#
#liku#,#liku#
#lunaw#,#lunaw#
#liwaŋ#,#lewaŋ#
#paɡu#,#paɡu#
#panduŋ#,#pandoŋ#
#paduŋ#,#pandoŋ#
#paŋat#,#paŋat#
#raŋkaŋ#,#raŋkaŋ#
#salem#,#salam#
#samek#,#samak#
#sandet#,#sandat#
#sadet#,#sandat#
#sapaŋ#,#sapaŋ#
#saraw#,#saraw#
#sibak#,#sibak#
#sintak#,#sintak#
#sujeʔuk#,#sujok#
#sujʔuk#,#sujok#
#tawtaw#,#tatau#
#tawaj#,#tawai#
#tuŋkuk#,#tokok#
#tukuk#,#tokok#
#tuŋkup#,#tukup#
#tumid#,#tumiʔ#
#unzet#,#undʒat#
#iŋkaŋ#,#eŋkaŋ#
#ŋiak#,#ŋeak#
