input,output
#ʔalaŋ#,#alaŋ#
#ʔambawaŋ#,#ambawaŋ#
#ʔalesem#,#asem#
#hametak#,#atak#
#habed#,#awer#
#ʔabis#,#awis#
#ʔajam#,#ajam#
#hajun#,#ajun#
#ʔeled#,#eled#
#ʔembun#,#embun#
#ʔizep#,#idep#
#ʔiriŋ#,#iriŋ#
#ʔiriŋ#,#iriŋ#
#ʔituŋ#,#ituŋ#
#ʔuntaj#,#unte#
#hujaŋ#,#ujaŋ#
#aɡem#,#aɡem#
#azak#,#adʒak#
#aken#,#akən#
#alaʔ#,#alah#
#alub#,#alub#
#ambet#,#ambet#
#ampal#,#ampal#
#anteŋ#,#anteŋ#
#ambaj#,#awaj#
#ajak#,#ajak#
#aŋkat#,#aŋkat#
#hakep#,#aŋkep#
#badʒbadʒ#,#babad#
#balakaŋ#,#balakaŋ#
#balakaŋ#,#walakaŋ#
#balanak#,#balanak#
#bantal#,#bantal#
#barasbas#,#barabas#
#baties#,#batis#
#baŋbaŋ#,#baŋbaŋ#
#banduŋ#,#baɳɖuŋ#
#bebak#,#bebak#
#bedbed#,#bebed#
#beŋbeŋ#,#bebeŋ#
#bek#,#bek#
#bekel#,#bekel#
#benem#,#benem#
#betaʔ#,#betah#
#beŋ#,#beŋ#
#bintur#,#bintur#
#bubul#,#bubul#
#buɡar#,#buɡar#
#burik#,#burik#
#busuŋ#,#busuŋ#
#buŋbuŋ#,#buŋbuŋ#
#cekcek#,#cecek#
#zaluaŋ#,#daluwaŋ#
#daŋanan#,#daŋanan#
#dulit#,#dulit#
#eɡap#,#eɡap#
#eŋkaʔ#,#ekah#
#ʔeluk#,#eluk#
#enzak#,#endʒak#
#eŋkab#,#eŋkab#
#ekab#,#eŋkab#
#ɡakɡak#,#ɡaɡak#
#ɡaluɡaʔ#,#ɡaluɡa#
#ɡamet#,#ɡamet#
#ɡanti#,#ɡanti#
#ɡaduŋ#,#ɡaɖuŋ#
#ɡek#,#ɡek#
#ɡeteʔ#,#ɡetah#
#ɡiɡir#,#ɡiɡir#
#ɡitɡit#,#ɡiɡit#
#ɡiɡut#,#ɡiɡut#
#ɡiak#,#ɡijak#
#ɡeraʔ#,#ɡrah#
#ɡuntur#,#ɡuntur#
#ɡetɡet#,#ɡəɡət#
#ɡenep#,#ɡənəp#
#hadas#,#hadas#
#ʔaliwat#,#haliwat#
#ʔiaŋ#,#hjaŋ#
#ʔiaŋ#,#jaŋ#
#icir#,#icir#
#ikel#,#ikel#
#hiket#,#ikət#
#ʔilaɡ#,#ilaɡ#
#imbuʔ#,#imbuh#
#hintaj#,#inte#
#hintaj#,#intaj#
#ipak#,#ipak#
#iraŋ#,#iraŋ#
#irid#,#irid#
#itik#,#itik#
#iŋet#,#iŋet#
#iŋkab#,#iŋkab#
#ʔidam#,#iɖam#
#indaŋ#,#iɳɖaŋ#
#zelzel#,#dʒədʒəl#
#kakap#,#kakap#
#kampil#,#kampil#
#kandaŋ#,#kanɖaŋ#
#kapuk#,#kapuk#
#kawaʔ#,#kawah#
#kaban#,#kawan#
#kepuŋ#,#kepuŋ#
#kedik#,#keɖik#
#kiduŋ#,#kiduŋ#
#kilan#,#kilan#
#kilaŋ#,#kilaŋ#
#kiriɡ#,#kiriɡ#
#kukuŋ#,#kukuŋ#
#kuhul#,#kul#
#kulub#,#kulub#
#kulem#,#kuləm#
#kupiŋ#,#kupiŋ#
#kupiŋ#,#kopiŋ#
#kureb#,#kureb#
#kuru#,#kuru#
#kuruŋ#,#kuruŋ#
#kusut#,#kusut#
#kuŋkuŋ#,#kuŋkuŋ#
#kezep#,#kədʒəp#
#kembaŋ#,#kəmbaŋ#
#kepel#,#kəpəl#
#ketik#,#kətik#
#keter#,#kətər#
#laɡu#,#laɡu#
#lakebaŋ#,#lambaŋ#
#lakbaŋ#,#lambaŋ#
#lampit#,#lampit#
#landak#,#landak#
#lantaj#,#lante#
#lalatu#,#lalatu#
#lawaŋ#,#lawaŋ#
#lebuɡ#,#lebuɡ#
#lebleb#,#leleb#
#leleb#,#leleb#
#lembaʔ#,#lembah#
#lebaʔ#,#lembah#
#lempaɡ#,#lempaɡ#
#lepaɡ#,#lempaɡ#
#lepet#,#lepet#
#licin#,#licin#
#limaw#,#limo#
#liŋɡis#,#liŋɡis#
#liɡis#,#liŋɡis#
#laun#,#lon#
#lukat#,#lukat#
#lumpat#,#lumpat#
#lumpuʔ#,#lumpuh#
#lunas#,#lunas#
#luŋka#,#luŋka#
#luka#,#luŋka#
#luja#,#luːja#
#lebak#,#ləbak#
#leleb#,#lələb#
#lembut#,#ləmbut#
#lemu#,#ləmu#
#lepas#,#ləpas#
#lepiʔ#,#ləpih#
#lepet#,#ləpət#
#lesu#,#ləsu#
#lekep#,#ləŋkəp#
#majaŋ#,#majaŋ#
#medem#,#meɖem#
#pisan#,#misan#
#paɡeʔ#,#paɡeh#
#paku#,#paku#
#palapaʔ#,#palapah#
#paladʒ#,#palar#
#paras#,#paras#
#parelak#,#parlak#
#pajuŋ#,#pajuŋ#
#paŋɡaɡa#,#paŋɡaɡa#
#paŋɡaŋ#,#paŋɡaŋ#
#paŋɡuŋ#,#paŋɡuŋ#
#paŋi#,#paŋi#
#pada#,#paɖa#
#pandet#,#paɖet#
#padet#,#paɖet#
#peɡeŋ#,#peɡeŋ#
#picek#,#picek#
#pizet#,#pidʒet#
#pilis#,#pilis#
#pindaʔ#,#pinɖah#
#pindaŋ#,#pinɖaŋ#
#pisan#,#pisan#
#pisan#,#pisan#
#pucuk#,#pucuk#
#pukaŋ#,#pukaŋ#
#puliʔ#,#pulih#
#puʔpuʔ#,#pupuh#
#purpur#,#pupur#
#puspus#,#pupus#
#putput#,#puput#
#putus#,#putus#
#putus#,#putus#
#pundut#,#puɳɖut#
#pedped#,#pəpəd#
#petpet#,#pəpət#
#peteŋ#,#pətəŋ#
#rambut#,#rambut#
#raŋsuk#,#rasuk#
#rasuk#,#rasuk#
#raŋsuk#,#raŋsuk#
#rasuk#,#raŋsuk#
#reŋat#,#reŋat#
#risris#,#riris#
#salin#,#salin#
#sambaj#,#sambe#
#sabaj#,#sambe#
#samir#,#samir#
#sapaŋ#,#sampaŋ#
#sampir#,#sampir#
#sanda#,#sanɖa#
#sandaŋ#,#sanɖaŋ#
#saruŋ#,#saruŋ#
#sabaʔ#,#sawah#
#sawaŋ#,#sawaŋ#
#sabuŋ#,#sawuŋ#
#sajat#,#sajat#
#saŋet#,#saŋət#
#sandet#,#saɳɖet#
#sadet#,#saɳɖet#
#sikep#,#sikep#
#siluk#,#siluk#
#sipat#,#sipat#
#sidem#,#sirem#
#sidiŋ#,#siriŋ#
#sisiɡ#,#sisiɡ#
#sisiʔ#,#sisih#
#siksik#,#sisik#
#saeŋ#,#soŋ#
#suker#,#sukər#
#sulit#,#sulit#
#suliŋ#,#suliŋ#
#sumpaʔ#,#sumpah#
#sumpiŋ#,#sumpiŋ#
#asuntiŋ#,#suntiŋ#
#supit#,#supit#
#ʔasual#,#suwal#
#subeŋ#,#suwəŋ#
#suŋu#,#suŋu#
#suŋut#,#suŋut#
#sundul#,#suɳɖul#
#sunduŋ#,#suɳɖuŋ#
#suduŋ#,#suɳɖuŋ#
#saur#,#swar#
#saur#,#sor#
#seɡuk#,#səɡuk#
#selat#,#səlat#
#selaŋ#,#səlaŋ#
#selut#,#səlut#
#sela#,#səlaː#
#sapelet#,#səpət#
#selsel#,#səsəl#
#sedep#,#səɖəp#
#terus#,#trus#
#ta#,#ta#
#taŋkis#,#takis#
#taŋkis#,#taŋkis#
#tambeŋ#,#tambəŋ#
#tandak#,#tanɖak#
#tandiŋ#,#tanɖiŋ#
#tapaj#,#tape#
#tapiʔ#,#tapih#
#tatal#,#tatal#
#tawaŋ#,#tawaŋ#
#tabiŋ#,#tawiŋ#
#taŋɡap#,#taŋɡap#
#taŋɡul#,#taŋɡul#
#taŋɡuŋ#,#taŋɡuŋ#
#tilem#,#tilem#
#timbaŋ#,#timbaŋ#
#tulad#,#tulad#
#tuʔelaŋ#,#tulaŋ#
#tumpaŋ#,#tumpaŋ#
#tumpuk#,#tumpuk#
#tuntun#,#tuntun#
#tuɡtuɡ#,#tutuɡ#
#timbak#,#tembak#
#tibak#,#tembak#
#temu#,#təmu#
#testes#,#tətəs#
#uɡaʔ#,#uɡah#
#ʔulam#,#ulam#
#uliʔ#,#ulih#
#humbak#,#umbak#
#umbaŋ#,#umbaŋ#
#umbul#,#umbul#
#undur#,#undur#
#ʔuraj#,#uraj#
#ʔuraj#,#ure#
#urub#,#urub#
#utus#,#utus#
#huab#,#uwab#
#huŋkab#,#uŋkab#
#hukab#,#uŋkab#
#udahik#,#uɖik#
#bakul#,#wakul#
#balalaŋ#,#walaŋ#
#balian#,#walen#
#balian#,#waljan#
#baledʒ#,#waler#
#balikat#,#walikat#
#baliwis#,#waliwis#
#baliŋ#,#waliŋ#
#balulaŋ#,#walulaŋ#
#bantaʔ#,#wantah#
#baruɡa#,#waruɡa#
#bates#,#wates#
#bajawak#,#wajawak#
#baŋkaj#,#waŋkaj#
#baŋkaj#,#waŋke#
#baŋkudu#,#waŋkuɖu#
#belit#,#welit#
#benaŋ#,#wenaŋ#
#bentis#,#wentis#
#betaʔ#,#wetah#
#beteŋ#,#weteŋ#
#bilaʔ#,#wilah#
#bilut#,#wilut#
#bika#,#wiŋka#
#bauk#,#wok#
#bulaŋ#,#wulaŋ#
#bunut#,#wunut#
#buri#,#wuri#
#butbut#,#wutbut#
#buŋkus#,#wuŋkus#
#dabuʔ#,#ɖawuh#
#dahdah#,#ɖaɖa#
#dukduk#,#ɖuɖuk#
