input,output
#adu#,#adu#
#azak#,#adʒak#
#amben#,#amben#
#anteŋ#,#anteŋ#
#hataʔ#,#atah#
#awer#,#awer#
#ajak#,#ajak#
#hajun#,#ajun#
#aŋkat#,#aŋkat#
#haseɡ#,#aŋseɡ#
#babat#,#babat#
#bacuk#,#bacok#
#bakul#,#bakul#
#balanak#,#balanak#
#balaŋaʔ#,#balaŋah#
#balaŋa#,#balaŋah#
#balida#,#balida#
#baliuŋ#,#baliuŋ#
#baʔeluŋ#,#baloŋ#
#bantal#,#bantal#
#bajawak#,#bajawak#
#banban#,#baŋban#
#baŋbaŋ#,#baŋbaŋ#
#baŋkaj#,#baŋke#
#bek#,#bek#
#benaŋ#,#benaŋ#
#beteŋ#,#beuteuŋ#
#bilis#,#bilis#
#bintenu#,#bintenu#
#binuaŋ#,#binuaŋ#
#binti#,#biti#
#buled#,#buleud#
#butas#,#buntas#
#buri#,#buri#
#burik#,#burik#
#busuŋ#,#busuŋ#
#buhaŋin#,#buŋin#
#buŋkem#,#buŋkem#
#buŋkus#,#buŋkus#
#baisan#,#besan#
#baliŋbiŋ#,#caliŋciŋ#
#baŋkudu#,#caŋkudu#
#cinduŋ#,#cinduŋ#
#ciduŋ#,#cinduŋ#
#curit#,#coret#
#dahdah#,#dada#
#zaluaŋ#,#daluaŋ#
#dapal#,#dampal#
#dujuŋ#,#dojoŋ#
#didis#,#dedes#
#diʔepit#,#dempet#
#diʔpit#,#dempet#
#diŋkit#,#deŋket#
#deŋen#,#dɨŋɨn#
#ʔeluk#,#eluk#
#enzi#,#endʒi#
#ɡaŋɡaŋ#,#ɡaŋɡaŋ#
#ɡeleŋ#,#ɡeleŋ#
#ɡemes#,#ɡemes#
#ɡetuk#,#ɡetok#
#ɡeteʔ#,#ɡeutah#
#ɡilaŋ#,#ɡilaŋ#
#ɡumpit#,#ɡupit#
#ɡupit#,#ɡupit#
#ɡetɡet#,#ɡəɡət#
#ɡenep#,#ɡənəp#
#hampaŋ#,#hampaŋ#
#ʔanta#,#hanta#
#ʔasep#,#haseup#
#ʔalesem#,#hasɨm#
#ʔajam#,#hajam#
#ʔeluk#,#heluk#
#ʔereŋ#,#hereŋ#
#ʔiem#,#hiem#
#ʔiem#,#hiɨm#
#hidem#,#idem#
#izuk#,#indʒuk#
#itil#,#itil#
#iŋet#,#iŋet#
#ziŋkit#,#dʒeŋket#
#kalis#,#kalis#
#kawaʔ#,#kawah#
#kelaŋ#,#kelaŋ#
#kidem#,#kirɨm#
#kupkup#,#kukup#
#kuskus#,#kukus#
#kulub#,#kulub#
#kumpul#,#kumpul#
#kuntit#,#kuntit#
#kutit#,#kuntit#
#kupiŋ#,#kupiŋ#
#kuru#,#kuru#
#kurud#,#kurud#
#kusut#,#kusut#
#keteɡ#,#kətəɡ#
#labaj#,#labaj#
#labuʔ#,#labuh#
#lamuk#,#lamuk#
#landak#,#landak#
#lahuk#,#lauk#
#laun#,#laun#
#lawaŋ#,#lawaŋ#
#lajaŋ#,#lajaŋ#
#laŋaʔ#,#laŋah#
#laŋka#,#laŋka#
#laka#,#laŋka#
#laʔin#,#laʔin#
#leʔeɡuk#,#leɡuk#
#leʔɡuk#,#leɡuk#
#lembut#,#lembut#
#ʔaliwat#,#liwat#
#luʔluʔ#,#luluh#
#luluʔ#,#luluh#
#lumpuʔ#,#lumpuh#
#lepas#,#ləpas#
#majaŋ#,#majaŋ#
#paŋku#,#maŋku#
#pihak#,#mijak#
#pukul#,#mukul#
#pecut#,#məcut#
#tisuk#,#nisuk#
#tuŋkup#,#nuŋkup#
#humbak#,#ombak#
#paɡeʔ#,#paɡeuh#
#paku#,#paku#
#paras#,#paras#
#patik#,#patek#
#pajaʔ#,#pajah#
#pajuŋ#,#pajuŋ#
#paŋɡuŋ#,#paŋɡuŋ#
#petak#,#petak#
#pera#,#peura#
#pindaʔ#,#pindah#
#pukul#,#pukul#
#puket#,#pukət#
#purpur#,#pupur#
#putus#,#putus#
#pujuʔ#,#pujuh#
#puŋɡel#,#puŋɡel#
#puŋpuŋ#,#puŋpuŋ#
#pecut#,#pəcut#
#pezem#,#pɨrɨm#
#rendeŋ#,#rendeŋ#
#reŋat#,#reŋat#
#sabut#,#sabut#
#saɡa#,#saɡa#
#salaʔ#,#salah#
#salaj#,#sale#
#sandaŋ#,#sandaŋ#
#saŋet#,#saŋet#
#saŋɡul#,#saŋɡul#
#seŋit#,#seŋit#
#siaŋ#,#siaŋ#
#sikat#,#sikat#
#sidʒem#,#sirɨm#
#suker#,#sukər#
#sulit#,#sulit#
#suliŋ#,#suliŋ#
#sumpaʔ#,#sumpah#
#supit#,#supit#
#surambi#,#surambi#
#suruŋ#,#suruŋ#
#suŋkal#,#suŋkal#
#sedep#,#sədəp#
#sapelet#,#səpət#
#sepaʔ#,#sɨpah#
#tambaʔ#,#tambah#
#tamban#,#tamban#
#tatal#,#tatal#
#taŋɡul#,#taŋɡul#
#tepa#,#tepa#
#teras#,#teras#
#tilem#,#tiləm#
#timbul#,#timbul#
#timpuhuʔ#,#timpuh#
#tisuk#,#tisuk#
#tirtir#,#titir#
#tiŋkeb#,#tiŋkeb#
#tikeb#,#tiŋkeb#
#tiŋkes#,#tiŋkes#
#tikes#,#tiŋkes#
#tukuŋ#,#tukuŋ#
#tuʔelaŋ#,#tulaŋ#
#tuman#,#tuman#
#tumpuk#,#tumpuk#
