input,output
#aba#,#aba#
#enzuk#,#alok#
#ezuk#,#alok#
#ambiʔ#,#ambiʔ#
#ambun#,#ambon#
#ampias#,#ampias#
#andap#,#andap#
#ʔanta#,#anta#
#ʔantuk#,#antok#
#apis#,#apis#
#aŋkat#,#aŋkat#
#aŋi#,#aŋi#
#ba#,#ba#
#bakelad#,#baklad#
#balakaŋ#,#balakaŋ#
#baladaw#,#balaraw#
#balida#,#balila#
#baliliŋ#,#baliliŋ#
#baliŋbiŋ#,#balimbiŋ#
#balatuŋ#,#balatoŋ#
#baraŋaj#,#balaŋaj#
#balikat#,#balikat#
#balut#,#balot#
#bambaŋen#,#bambaŋin#
#banban#,#bamban#
#banelat#,#banlat#
#banelik#,#banlik#
#bantaʔ#,#bantaʔ#
#banuaŋ#,#banuaŋ#
#baɲat#,#banat#
#basbas#,#basbas#
#batik#,#batik#
#baisan#,#bajsan#
#bajaw#,#bajaw#
#bajawak#,#bajawak#
#baɡak#,#baŋɡak#
#baŋkaj#,#baŋkaj#
#baŋkudu#,#baŋkuro#
#bait#,#baʔit#
#bedbed#,#bidbid#
#bikaŋkaŋ#,#bikaŋkaŋ#
#biras#,#bilas#
#bidibid#,#bilibid#
#binuaŋ#,#binuaŋ#
#bida#,#bira#
#biŋkaŋ#,#biŋkaŋ#
#bikaŋ#,#biŋkaŋ#
#biʔas#,#biʔas#
#biʔas#,#bias#
#budʒbudʒ#,#budbod#
#buɡbuɡ#,#buɡboɡ#
#buhaŋin#,#buhaŋin#
#beketut#,#buktot#
#buŋbuŋ#,#bumboŋ#
#buŋsu#,#bunso#
#butbut#,#butbot#
#butas#,#butas#
#butiti#,#butete#
#buŋkal#,#buŋkal#
#buŋkus#,#buŋkos#
#buŋut#,#buŋot#
#buʔaw#,#buʔaw#
#babaw#,#babaw#
#baɡaj#,#baɡaj#
#bakul#,#bakol#
#balalaŋ#,#balaŋ#
#baliŋ#,#baliŋ#
#baʔeluŋ#,#baloŋ#
#balanak#,#banak#
#baɲat#,#banat#
#banat#,#banat#
#balun#,#baon#
#batak#,#batak#
#bataʔ#,#bataʔ#
#batuk#,#batok#
#bikas#,#bikas#
#bilin#,#bilin#
#buhus#,#buhos#
#burik#,#bulik#
#bulus#,#bulos#
#burus#,#bulos#
#busuŋ#,#busoŋ#
#butas#,#butas#
#dapit#,#dapit#
#zaŋkal#,#daŋkal#
#deket#,#dikit#
#zuliŋ#,#duliŋ#
#zuluŋ#,#duloŋ#
#dahak#,#dahak#
#dalih#,#dahil#
#damaj#,#damaj#
#zaŋan#,#daŋan#
#zizi#,#diri#
#ɡakɡak#,#ɡakɡak#
#ɡanti#,#ɡanti#
#ɡateʔ#,#ɡataʔ#
#ɡetɡet#,#ɡitɡit#
#ɡusut#,#ɡusot#
#ɡirɡir#,#ɡiɡil#
#ɡulaj#,#ɡulaj#
#ɡujud#,#ɡujod#
#hampir#,#hampil#
#hampul#,#hampol#
#hawan#,#hawan#
#hembek#,#hibik#
#hebek#,#hibik#
#hemel#,#himil#
#hediʔ#,#hindiʔ#
#hintaj#,#hintaj#
#hinzam#,#hiram#
#hidap#,#hirap#
#hukaj#,#hukaj#
#humbak#,#humbak#
#hutuk#,#hutok#
#haɡuk#,#haɡok#
#hadas#,#haras#
#hawan#,#hawan#
#haŋus#,#haŋos#
#hilah#,#hila#
#hilu#,#hilo#
#hidap#,#hirap#
#hizaw#,#hiraw#
#ibus#,#ibus#
#eɡaŋ#,#iɡaŋ#
#iliŋ#,#iliŋ#
#enzak#,#indak#
#iɲat#,#inat#
#ʔepah#,#ipa#
#izuk#,#irok#
#ian#,#ian#
#iŋas#,#iŋas#
#iŋɡit#,#iŋɡit#
#iɡit#,#iŋɡit#
#kabal#,#kabal#
#kaban#,#kaban#
#kalalaŋ#,#kalalaŋ#
#kalawit#,#kalawit#
#kalaju#,#kalajo#
#kalamaj#,#kalamaj#
#kalasaɡ#,#kalasaɡ#
#kamkam#,#kamkam#
#kanduŋ#,#kandoŋ#
#kapal#,#kapal#
#kapis#,#kapis#
#kidelat#,#kidlat#
#kizab#,#kilab#
#keleŋ#,#kiliŋ#
#kemkem#,#kimkim#
#kimpal#,#kimpal#
#kindat#,#kindat#
#kiɲaŋ#,#kinaŋ#
#kepel#,#kipil#
#kepel#,#kipil#
#kesap#,#kisap#
#kinsap#,#kisap#
#kisap#,#kisap#
#keteɡ#,#kitiɡ#
#kuhul#,#kuhol#
#kukkuk#,#kukok#
#kurapu#,#kulapo#
#kulubuŋ#,#kuluboŋ#
#kerus#,#kulos#
#kuruŋ#,#kuloŋ#
#ɡurumut#,#kulumot#
#kumkum#,#kumkom#
#kumpul#,#kumpol#
#kundul#,#kundol#
#kutil#,#kuntil#
#kupiŋ#,#kupiŋ#
#kezap#,#kurap#
#kezut#,#kurot#
#kuzut#,#kurot#
#kusut#,#kusot#
#kuan#,#kuwan#
#kapuk#,#kapok#
#keti#,#kati#
#kawaŋ#,#kawaŋ#
#kaja#,#kaja#
#kiraj#,#kilaj#
#kilik#,#kilik#
#keleŋ#,#kiliŋ#
#kuhit#,#kuhit#
#kuraj#,#kulaj#
#ranebut#,#labnot#
#lahar#,#lahar#
#lahuk#,#lahok#
#ladʒa#,#lala#
#landaj#,#lalaj#
#ladaj#,#lalaj#
#lembut#,#lambot#
#lamlam#,#lamlam#
#lampin#,#lampin#
#lentik#,#lantik#
#lampaŋ#,#lapaŋ#
#lapaŋ#,#lapaŋ#
#laun#,#laon#
#laŋuj#,#laŋoj#
#libedʒ#,#libid#
#reɡaw#,#liɡaw#
#liŋɡis#,#liɡis#
#liɡis#,#liɡis#
#lindur#,#lindol#
#lepas#,#lipas#
#ripur#,#lipol#
#lentaw#,#litaw#
#letaw#,#litaw#
#liŋaw#,#liŋaw#
#lemu#,#lumo#
#lunas#,#lunas#
#lunzaɡ#,#lundaɡ#
#lupiʔ#,#lupiʔ#
#lucut#,#lusot#
#lutuk#,#lutok#
#ruʔaɡ#,#luwaɡ#
#luʔaʔ#,#luwaʔ#
#labaj#,#labaj#
#lambuɡ#,#laboɡ#
#labuɡ#,#laboɡ#
#raʔebut#,#labot#
#raʔbut#,#labot#
#ladʒa#,#lala#
#laluʔ#,#laloʔ#
#latak#,#latak#
#latiʔ#,#latiʔ#
#rawaʔ#,#lawaʔ#
#libut#,#libot#
#liɡid#,#liɡid#
#lihim#,#lihim#
#lidem#,#lilim#
#liŋaw#,#liŋaw#
#liŋus#,#liŋos#
#luluɡ#,#luloɡ#
#luɲaw#,#lunaw#
#lunaw#,#lunaw#
#luʔuk#,#luok#
#lucak#,#lusak#
#lutaŋ#,#lutaŋ#
#lutuʔ#,#lutoʔ#
#muteʔ#,#mutaʔ#
#paɡel#,#paɡal#
#paras#,#palas#
#parawan#,#palawan#
#paŋpaŋ#,#pampaŋ#
#pandet#,#pandat#
#padet#,#pandat#
#pantaj#,#pantaj#
#panit#,#panit#
#padaw#,#paraw#
#patelaŋ#,#patlaŋ#
#pated#,#patid#
#pantik#,#patik#
#patik#,#patik#
#paŋɡaŋ#,#paŋɡaŋ#
#paŋkal#,#paŋkal#
#paŋku#,#paŋko#
#paŋat#,#paŋat#
#paʔud#,#paʔod#
#pilantik#,#pilantik#
#pizet#,#pindot#
#pisan#,#pinsan#
#pintal#,#pintal#
#pipiʔit#,#pipit#
#pipiʔ#,#pipiʔ#
#pecel#,#pisil#
#petpet#,#pitpit#
#pueʔ#,#poʔ#
#puɡut#,#puɡot#
#pukul#,#pukol#
#puŋsu#,#punso#
#puntuk#,#puntok#
#pulpul#,#pupol#
#puspus#,#puspos#
#putut#,#putot#
#puet#,#puwit#
#puju#,#pujo#
#puŋɡuk#,#puŋɡok#
#pahid#,#pahid#
#pakaw#,#pakaw#
#pada#,#para#
#padaŋ#,#paraŋ#
#pasaŋ#,#pasaŋ#
#paju#,#pajo#
#pajuŋ#,#pajoŋ#
#paʔis#,#paʔis#
#pilat#,#pilat#
#pisan#,#pisan#
#pitak#,#pitak#
#punzut#,#pulot#
#puzut#,#pulot#
#sabasaʔ#,#sabasa#
#sabeʔa#,#saba#
#sambaw#,#sabaw#
#sabaw#,#sabaw#
#sambaj#,#sabaj#
#sabaj#,#sabaj#
#cabaŋ#,#sabaŋ#
#saɡsaɡ#,#saɡsaɡ#
#salambaw#,#salambaw#
#salampaj#,#salampaj#
#sarapaŋ#,#salapaŋ#
#sadat#,#salat#
#salatan#,#salatan#
#salaʔ#,#salaʔ#
#sambut#,#sambot#
#sandet#,#sandat#
#sadet#,#sandat#
#sanduk#,#sandok#
#sampuk#,#sapok#
#sapuk#,#sapok#
#sawaliʔ#,#sawaliʔ#
#sajaw#,#sajaw#
#saŋɡa#,#saŋɡa#
#saŋehid#,#saŋhid#
#saŋhid#,#saŋhid#
#saŋkalan#,#saŋkalan#
#saŋkut#,#saŋkot#
#sibak#,#sibak#
#ceɡuk#,#siɡok#
#seɡuk#,#siɡok#
#cekiɡ#,#sikiɡ#
#sikep#,#sikip#
#sirab#,#silab#
#selat#,#silat#
#sintak#,#sintak#
#sipak#,#sipak#
#sipat#,#sipat#
#ciap#,#sijap#
#seŋa#,#siŋa#
#ciŋap#,#siŋap#
#seŋeʔaw#,#siŋaw#
#seŋʔaw#,#siŋaw#
#siŋir#,#siŋil#
#siʔir#,#siʔil#
#siʔit#,#siʔit#
#subsub#,#subsob#
#sukat#,#sukat#
#surambi#,#sulambi#
#surambiʔ#,#sulambiʔ#
#sulit#,#sulit#
#suleb#,#sulib#
#sulib#,#sulib#
#sumpel#,#sumpal#
#sumpaʔ#,#sumpaʔ#
#cutcut#,#sutsot#
#suŋkal#,#suŋkal#
#suŋkul#,#suŋkol#
#suŋar#,#suŋal#
#suŋut#,#suŋot#
#sabit#,#sabit#
#sabuŋ#,#saboŋ#
#saɡu#,#saɡo#
#sarak#,#salak#
#salin#,#salin#
#saruŋ#,#saloŋ#
#sapiʔ#,#sapiʔ#
#sasaɡ#,#sasaɡ#
#sasaɡ#,#sasaɡ#
#sawan#,#sawan#
#sawaŋ#,#sawaŋ#
#saweʔaʔ#,#sawaʔ#
#sajaŋ#,#sajaŋ#
#siɡaj#,#siɡaj#
#sikap#,#sikap#
#sikaŋ#,#sikaŋ#
#siduŋ#,#siloŋ#
#cirit#,#sirit#
#ciderit#,#sirit#
#sukat#,#sukat#
#seruk#,#sulok#
#suruŋ#,#suloŋ#
#sunduŋ#,#suloŋ#
#suduŋ#,#suloŋ#
#suduʔ#,#suroʔ#
#tabtab#,#tabtab#
#tabas#,#tabas#
#taʔebaŋ#,#tabaŋ#
#taʔbaŋ#,#tabaŋ#
#taʔebaŋ#,#tabaŋ#
#taʔbaŋ#,#tabaŋ#
#tabeʔ#,#tabaʔ#
#tabeŋ#,#tabiŋ#
#tadtad#,#tadtad#
#taɡal#,#taɡal#
#takelub#,#taklob#
#taklub#,#taklob#
#taltal#,#taltal#
#tamban#,#tamban#
#tambuk#,#tambok#
#tampar#,#tampal#
#tampuk#,#tampok#
#tampuk#,#tampok#
#tapak#,#tapak#
#tampas#,#tapas#
#tapas#,#tapas#
#tapiʔ#,#tapiʔ#
#tazek#,#tarik#
#taŋɡal#,#taŋɡal#
#taŋɡap#,#taŋɡap#
#taŋɡul#,#taŋɡol#
#taŋkeb#,#taŋkab#
#taŋkir#,#taŋkil#
#taʔan#,#taʔan#
#taʔan#,#taʔan#
#timbaw#,#timbaw#
#timbaŋ#,#timbaŋ#
#timbun#,#timbon#
#timpuhuʔ#,#timpuhoʔ#
#tedis#,#tiris#
#testes#,#tistis#
#tiŋadaʔ#,#tiŋalaʔ#
#tuɡtuɡ#,#tuɡtoɡ#
#tukil#,#tukil#
#tumbuŋ#,#tumboŋ#
#tumbuŋ#,#tumboŋ#
#tumpaŋ#,#tumpaŋ#
#tumpuk#,#tumpok#
#tenduk#,#tundok#
#teduk#,#tundok#
#tuntun#,#tunton#
#tenduk#,#turok#
#teduk#,#turok#
#tuad#,#tuwad#
#tuas#,#tuwas#
#tuaʔ#,#tuwaʔ#
#tuʔelid#,#tuwid#
#tuʔlid#,#tuwid#
#tuŋkab#,#tuŋkab#
#tukab#,#tuŋkab#
#tuŋkus#,#tuŋkos#
#tuŋaw#,#tuŋaw#
#tuʔaj#,#tuʔaj#
#tabas#,#tabas#
#tabiŋ#,#tabiŋ#
#taeb#,#taib#
#tamu#,#tamo#
#tapak#,#tapak#
#tampas#,#tapas#
#tapas#,#tapas#
#tapaj#,#tapaj#
#tatal#,#tatal#
#tajun#,#tajon#
#taŋaʔ#,#taŋaʔ#
#tipas#,#tipas#
#tuŋkup#,#tukop#
#tukuŋ#,#tukoŋ#
#tulad#,#tulad#
#tunaj#,#tunaj#
#uɡaliʔ#,#uɡaliʔ#
#uɡaʔ#,#uɡaʔ#
#uhaʔ#,#uhaʔ#
#ukuʔ#,#ukoʔ#
#ulila#,#ulila#
#umpis#,#umpis#
#umpuk#,#umpok#
#unzet#,#undot#
#ʔuntaj#,#untaj#
#udaliʔ#,#uraliʔ#
#ʔutas#,#utas#
#utuŋ#,#utoŋ#
#ujut#,#ujot#
#uŋkat#,#uŋkat#
#uŋus#,#uŋos#
#uŋut#,#uŋot#
#ʔalesem#,#asim#
#ataɡ#,#ataɡ#
#ataŋ#,#ataŋ#
#aten#,#atin#
#ʔajam#,#ajam#
#iŋkaŋ#,#ikaŋ#
#ʔilaɡ#,#ilaɡ#
#ʔinit#,#init#
#isaw#,#isaw#
#itik#,#itik#
#ubak#,#ubak#
#ukaŋ#,#ukaŋ#
#ulak#,#ulak#
#ʔulam#,#ulam#
#ulaj#,#ulaj#
#ulit#,#ulit#
#urub#,#ulob#
#upak#,#upak#
#utus#,#utos#
#ŋutŋut#,#ŋutŋot#
#ŋujaʔ#,#ŋujaʔ#
#ɡawaʔ#,#ɡawaʔ#
