input,output
#awaj#,#aai#
#aŋkat#,#aŋka#
#balaki#,#balaki#
#balian#,#balia#
#baliliŋ#,#balili#
#balulaŋ#,#balula#
#baruɡa#,#baruɡa#
#baŋkaj#,#baŋke#
#bakehaw#,#baŋko#
#bekadʒ#,#beka#
#bidaŋ#,#bida#
#bintenu#,#bintonu#
#bihed#,#bio#
#biŋkudu#,#biŋkuru#
#bekur#,#bokuru#
#beleŋ#,#bolo#
#berit#,#bori#
#budʒbudʒ#,#bubu#
#burik#,#buri#
#buhaŋin#,#buŋi#
#zaluaŋ#,#dalua#
#zariaŋaw#,#dariaŋo#
#zelaʔ#,#dela#
#duduʔ#,#dudu#
#ɡasiŋ#,#ɡasi#
#inda#,#inda#
#ʔinit#,#ini#
#kaladi#,#kaladi#
#kamaŋi#,#kamaŋi#
#kempuŋ#,#kompo#
#labuʔ#,#labu#
#alaɡaʔ#,#laɡa#
#lampin#,#lampi#
#lantaw#,#lanto#
#lataw#,#lanto#
#libut#,#libu#
#lukuʔ#,#luku#
#muncuŋ#,#muncu#
#mucuŋ#,#muncu#
#dabuʔ#,#ndawu#
#padaŋ#,#pada#
#paku#,#paku#
#patek#,#pato#
#pajuŋ#,#pau#
#puŋpuŋ#,#pupu#
#sabuʔ#,#sabu#
#sanduk#,#sandu#
#saksak#,#sasa#
#simpir#,#simpi#
#seleɡ#,#solo#
#suliŋ#,#suliŋ#
#supit#,#supi#
#tabeʔ#,#taba#
#tapaj#,#tape#
#tariŋ#,#tari#
#tadu#,#taru#
#taŋaʔ#,#taŋa#
#timbak#,#tiba#
#tibak#,#tiba#
#tendek#,#tondo#
#teŋteŋ#,#tonto#
#tubeŋ#,#tubo#
#tunas#,#tuna#
#tubeliʔ#,#tuwele#
#tubliʔ#,#tuwele#
#humbak#,#umba#
#ʔuntaj#,#unte#
#benti#,#wonti#
#buʔeli#,#wuli#
